lop	tiet	GV1001	GV1002	GV1003	GV1004	GV1005	GV1006	GV1007	GV1008	GV1009	GV1010	GV1011	GV1012	GV1013	GV1015	GV1016	GV1017	GV1018	GV1019	GV1020	GV1021	GV1022	GV1023	GV1024	GV1025	GV1026	GV1027	GV1028	GV1029	GV1030	GV1031	GV1032	GV1033	GV1034	GV1035	GV1036	GV1037	GV1038	GV1039	GV1040	GV1041	GV1042	GV1043	GV1044	GV1045	GV1046	GV1047	GV1048	GV1049	GV1050	GV1051	GV1052	GV1053	GV1054	GV1056	GV1057	GV1058	GV1059	GV1060	GV1061	GV1062	GV1063	GV1064	GV1065	GV1066	GV1067	GV1068	GV1069	GV1070	GV1071	GV1073	GV1074	GV1076	GV1077	GVNN01	GVNN02	GVNN03
2	1	 - 	SHL - 10G	 - 	SHL - 12M	SHL - 12D	SHL - 11T	 - 	SHL - 10M	SHL - 11M	 - 	 - 	SHL - 12G	SHL - 10D	SHL - 11E	SHL - 11K	SHL - 11H	 - 	SHL - 12C	SHL - 10H	SHL - 10K	SHL - 12E	 - 	SHL - 10A	 - 	 - 	 - 	SHL - 12H	SHL - 12K	SHL - 11B	SHL - 11N	 - 	SHL - 12A	SHL - 10B	SHL - 11P	 - 	 - 	SHL - 11C	 - 	SHL - 11A	 - 	 - 	SHL - 10E	 - 	 - 	 - 	SHL - 11G	SHL - 12B	SHL - 10C	 - 	 - 	SHL - 12N	SHL - 11Q	 - 	 - 	 - 	SHL - 10N	 - 	 - 	SHL - 11D	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
2	2	Toan - 10E	Toan - 10K	 - 	Toan - 11B	Toan - 11C	Toan - 11G	Toan - 12E	Toan - 11A	Toan - 11M	Toan - 10N	Van - 10M	 - 	Van - 11Q	Van - 11E	Van - 11K	Van - 11H	Van - 11P	Van - 12H	 - 	Van - 11N	 - 	 - 	Anh - 10H	 - 	 - 	 - 	Anh - 12D	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 12B	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 10A	Sinh - 12G	Sinh - 12K	Sinh - 10C	 - 	 - 	Su - 12A	 - 	 - 	Dia - 12M	 - 	 - 	 - 	 - 	GDCD - 10B	 - 	 - 	 - 	 - 	 - 	QP - 10G	Tin - 12C	 - 	Tin - 11D	Tin - 12N	CN - 11T	 - 	 - 	 - 	AVNN - 10D	 - 	 - 	
2	3	Toan - 12N	 - 	Toan - 12G	 - 	Toan - 12D	 - 	Toan - 12E	Toan - 11A	Toan - 11P	 - 	Van - 10M	Van - 10E	Van - 11Q	Van - 11E	Van - 11T	Van - 11C	 - 	Van - 10N	Van - 11M	Van - 11G	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 12M	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 10K	 - 	 - 	 - 	 - 	 - 	Dia - 11D	 - 	Dia - 10B	GDCD - 12A	 - 	 - 	TD - 10G	TD - 11K	TD - 10H	TD - 11H	QP - 12B	QP - 12K	Tin - 12C	 - 	 - 	Tin - 12H	 - 	Tin - 11B	Van - 10A	 - 	AVNN - 10D	AVNN - 11N	AVNN - 10C	
2	4	Toan - 12N	Toan - 11D	Toan - 12G	Toan - 12M	Toan - 12D	 - 	Toan - 12B	Toan - 10B	Toan - 11P	 - 	 - 	Van - 10E	Van - 11Q	Van - 12K	 - 	Van - 11C	Van - 11B	Van - 10N	 - 	Van - 11G	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Hoa - 12A	 - 	 - 	 - 	 - 	 - 	Sinh - 12E	 - 	 - 	 - 	Sinh - 10M	 - 	Su - 12C	 - 	 - 	 - 	 - 	Dia - 10C	 - 	GDCD - 10D	 - 	 - 	TD - 10G	TD - 11K	TD - 10H	TD - 11H	QP - 11A	QP - 10K	 - 	 - 	Tin - 11M	Tin - 12H	 - 	 - 	Van - 10A	Ly - 11T	 - 	AVNN - 11N	AVNN - 11E	
2	5	 - 	 - 	Toan - 10A	Toan - 12A	 - 	Toan - 11N	Toan - 11K	Toan - 10M	Toan - 10D	Toan - 11H	 - 	Van - 12N	Van - 11A	Van - 12K	Van - 10B	Van - 10C	Van - 12E	Van - 12C	Van - 11D	Van - 10K	 - 	 - 	 - 	 - 	 - 	Anh - 10G	Anh - 12H	 - 	Anh - 11B	 - 	 - 	 - 	 - 	 - 	 - 	 - 	CN - 12B	 - 	 - 	 - 	Hoa - 12G	 - 	 - 	Sinh - 11P	 - 	Sinh - 12M	 - 	Sinh - 10E	 - 	Su - 12D	 - 	 - 	 - 	Dia - 11M	 - 	 - 	 - 	GDCD - 11C	 - 	 - 	 - 	 - 	 - 	QP - 11G	QP - 10H	 - 	 - 	 - 	Tin - 10N	CN - 11Q	 - 	 - 	Ly - 11T	 - 	 - 	AVNN - 11E	
3	1	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 12G	Van - 11Q	Van - 11E	Van - 11K	Van - 11H	Van - 11B	Van - 10N	Van - 11M	 - 	 - 	 - 	 - 	Anh - 11T	 - 	 - 	 - 	Anh - 12B	 - 	 - 	 - 	 - 	 - 	Ly - 12H	 - 	Ly - 12C	 - 	Hoa - 12A	Hoa - 12M	Hoa - 10B	Hoa - 12K	Hoa - 12N	Hoa - 11P	Sinh - 12E	CN - 10D	 - 	 - 	Sinh - 10G	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	TD - 10E	TD - 11N	TD - 10K	TD - 11G	QP - 11C	QP - 10C	Tin - 12D	 - 	 - 	Tin - 10H	CN - 11A	 - 	Van - 10A	 - 	 - 	AVNN - 11D	AVNN - 10M	
3	2	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 10G	Van - 12G	Van - 10D	Van - 11E	Van - 11K	Van - 11H	Van - 11B	 - 	Van - 11M	 - 	 - 	 - 	 - 	Anh - 11T	 - 	 - 	 - 	Anh - 12B	 - 	 - 	Ly - 12E	Ly - 12A	Ly - 10B	Ly - 12H	 - 	Ly - 12C	 - 	 - 	Hoa - 12M	 - 	Hoa - 12K	Hoa - 12N	 - 	Sinh - 11A	CN - 10C	 - 	 - 	Sinh - 10N	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	TD - 10E	TD - 11N	TD - 10K	TD - 11G	QP - 11P	 - 	Tin - 12D	Tin - 10A	 - 	Tin - 10H	CN - 11C	 - 	 - 	 - 	AVNN - 11Q	AVNN - 11D	AVNN - 10M	
3	3	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 12M	Van - 10E	Van - 11A	Van - 12K	Van - 11T	Van - 11C	Van - 11P	Van - 12H	Van - 10H	Van - 11G	 - 	Anh - 12A	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 11B	 - 	Ly - 12E	Ly - 10N	 - 	 - 	 - 	 - 	 - 	Hoa - 10A	 - 	 - 	Hoa - 12C	 - 	Hoa - 10G	Sinh - 12N	CN - 10B	Sinh - 12D	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	TD - 10C	TD - 11M	TD - 10M	TD - 11E	QP - 11N	QP - 12G	Tin - 12B	Tin - 10D	 - 	Tin - 10K	CN - 11D	 - 	 - 	 - 	AVNN - 11Q	AVNN - 11H	AVNN - 11K	
3	4	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 12M	Van - 12N	Van - 11A	Van - 12D	Van - 11T	Van - 11C	Van - 11P	Van - 12H	Van - 10H	Van - 11G	Anh - 12E	Anh - 12A	 - 	Anh - 12G	 - 	 - 	 - 	 - 	Anh - 11B	Anh - 10B	Ly - 12K	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Hoa - 11D	 - 	 - 	Hoa - 10G	Sinh - 12C	CN - 10A	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	TD - 10C	TD - 11M	TD - 10M	TD - 11E	QP - 11Q	QP - 10E	Tin - 12B	Tin - 10D	 - 	Tin - 10K	CN - 11N	 - 	 - 	 - 	AVNN - 10N	AVNN - 11H	AVNN - 11K	
3	5	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 12B	Van - 12N	 - 	Van - 12D	 - 	 - 	Van - 12A	 - 	 - 	Van - 11N	Anh - 12M	 - 	Anh - 10A	Anh - 12G	Anh - 11E	Anh - 11D	Anh - 12H	 - 	Anh - 10K	Anh - 10B	Ly - 12K	Ly - 10D	Ly - 11A	Ly - 11P	 - 	CN - 12C	Ly - 11C	 - 	Hoa - 12E	 - 	Hoa - 11G	Hoa - 10E	Hoa - 10H	Sinh - 11T	 - 	Sinh - 11B	Sinh - 11M	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	QP - 11K	QP - 10M	Tin - 11Q	Tin - 10C	 - 	Tin - 10G	CN - 11H	 - 	 - 	 - 	AVNN - 10N	 - 	 - 	
